Sample#,Start time,Thread name,Label,SampleTime,Status,Bytes
1255,51:44.2,TC0003_PlannerC 3-10,/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:context:container:creationDiv:event::IBehaviorListener:0:-1&random=0.9994412394033615,572,Success,69
1256,51:38.8,TC0001_PlannerA 1-1,/plan,5950,Success,103788
1257,51:44.8,TC0002_PlannerB 2-8,/plan,39,Success,9
1258,51:44.8,TC0001_PlannerA 1-1,/plan,16,Success,9
1259,51:29.8,TC0001_PlannerA 1-11,/plan,15038,Success,71113
1260,51:44.8,TC0001_PlannerA 1-1,/plan,20,Success,9
1261,51:44.8,TC0002_PlannerB 2-8,/plan,56,Success,427
1262,51:44.8,TC0001_PlannerA 1-11,/plan,276,Success,427
1263,51:42.9,TC0002_PlannerB 2-3,/plan,2218,Success,16930
1264,51:42.9,TC0002_PlannerB 2-17,/plan,2243,Success,16929
1265,51:44.9,TC0002_PlannerB 2-8,/plan,367,Success,427
1266,51:45.1,TC0001_PlannerA 1-11,/plan,116,Success,427
1267,51:45.2,TC0001_PlannerA 1-11,/plan,80,Success,427
1268,51:37.9,TC0001_PlannerA 1-17,/plan,7522,Success,99860
1269,51:39.0,TC0002_PlannerB 2-12,/plan,6417,Success,101859
1270,51:45.5,TC0002_PlannerB 2-12,/plan,37,Success,9
1271,51:45.5,TC0002_PlannerB 2-12,/plan,26,Success,9
1272,51:45.5,TC0002_PlannerB 2-12,/plan,48,Success,469
1273,51:45.6,TC0002_PlannerB 2-12,/plan,67,Success,469
1274,51:38.9,TC0003_PlannerC 3-9,/plan,7006,Success,35485
1275,51:39.0,TC0003_PlannerC 3-13,/plan,6899,Success,35547
1276,51:45.7,TC0002_PlannerB 2-12,/plan?wicket:interface=:3:indicator:big-form:segment:part:task::IBehaviorListener:0:-1&random=0.5962860213474035,270,Success,24763
1277,51:45.9,TC0003_PlannerC 3-9,/plan,38,Success,70
1278,51:29.1,TC0001_PlannerA 1-2,/plan,16869,Success,71118
1279,51:35.6,TC0001_PlannerA 1-14,/plan,10384,Success,71113
1280,51:38.9,TC0003_PlannerC 3-11,/plan,7091,Success,50738
1281,51:29.0,TC0002_PlannerB 2-13,/plan,16993,Success,56924
1282,51:45.9,TC0003_PlannerC 3-9,/logout,37,Success,1471
1283,51:46.0,TC0003_PlannerC 3-9,/,6,Success,1471
1284,51:46.0,TC0003_PlannerC 3-9,/login.html,3,Success,1471
1285,51:28.4,TC0002_PlannerB 2-19,/plan,17585,Success,56872
1286,51:46.0,TC0001_PlannerA 1-2,/plan,53,Success,551
1287,51:46.0,TC0001_PlannerA 1-14,/plan,104,Success,551
1288,51:45.9,TC0003_PlannerC 3-13,/plan,188,Success,70
1289,51:46.1,TC0003_PlannerC 3-13,/logout,35,Success,1471
1290,51:46.2,TC0003_PlannerC 3-13,/,11,Success,1471
1291,51:46.2,TC0003_PlannerC 3-13,/login.html,3,Success,1471
1292,51:46.0,TC0001_PlannerA 1-2,/plan,254,Success,551
1293,51:46.1,TC0001_PlannerA 1-14,/plan,304,Success,551
1294,51:38.9,TC0001_PlannerA 1-15,/plan,7590,Success,105774
1295,51:46.3,TC0001_PlannerA 1-2,/plan,209,Success,551
1296,51:46.4,TC0001_PlannerA 1-14,/plan,167,Success,551
1297,51:38.6,TC0001_PlannerA 1-13,/plan,8163,Success,99878
1298,51:46.8,TC0001_PlannerA 1-13,/plan,47,Success,9
1299,51:46.8,TC0001_PlannerA 1-13,/plan,37,Success,9
1300,51:39.0,TC0003_PlannerC 3-19,/plan,8065,Success,35324
1301,51:47.1,TC0003_PlannerC 3-19,/plan,95,Success,70
1302,51:47.2,TC0003_PlannerC 3-19,/logout,20,Success,1471
